Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42a_fold0,rejection_mcmpnn_combi_v42a_fold4,rejection_mcmpnn_combi_v42a_fold1,rejection_mcmpnn_combi_v42a_fold2,rejection_mcmpnn_combi_v42a_fold3,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper,rejection_mcmpnn_combi_v42d_fold1,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42c_fold4,rejection_mcmpnn_combi_v42c_fold1,rejection_mcmpnn_combi_v42c_fold3,rejection_mcmpnn_combi_v42c_fold2,rejection_mcmpnn_combi_v42c_fold0
0,0,0,0,0,0,0,GMT-oNF-2,Toluene,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OC)C=C3C[P](C6=CC=CC=C6)1C7=CC=CC=C7,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OC)C=C3C[P](C6=CC=CC=C6)1C7=CC=CC=C7,0.5,30,25,0.341,CF,metal_catalyst,GMT-oNF,300,87,-8,0,0,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,645.4150000000002,6.822600000000008,645.4150000000002,6.822600000000008,0,0,0,0,0,0,1,0,1,0,0.9187003,0.9161631,0.9249157,0.9239116,0.79668206,0.8960745520000002,0.8269386862004461,0.9652104177995544,,,,,,,,,,
1,1,1,1,1,1,1,GMT-oNF-2,Toluene,CC1=CC=[N]([Ru]23([N]4=C(C5=CC=CC=[N]53)C=CC=C4)6[N]7=CC=CC=C7C8=[N]2C=CC=C8)C(C9=[N]6C=CC(C)=C9)=C1,CC1=CC=[N]([Ru]23([N]4=C(C5=CC=CC=[N]53)C=CC=C4)6[N]7=CC=CC=C7C8=[N]2C=CC=C8)C(C9=[N]6C=CC(C)=C9)=C1,0.5,30,25,0.341,CF,metal_catalyst,GMT-oNF,300,87,-8,0,0,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,597.6880000000001,7.045140000000006,597.6880000000001,7.045140000000006,0,0,0,0,0,0,1,0,1,0,0.4773267,0.58648723,-0.012780726,0.59829706,0.11546296,0.352958645,0.001563654,0.704353636,,,,,,,,,,
2,2,2,2,2,2,2,GMT-oNF-2,Toluene,CC1=CC(C)=CC(C)=C1N2CCN(C3=C(C)C=C(C)C=C3C)C2[Ru]4(Cl)(Cl)=CC5=CC(O)=CC=C5O4C(C)C,CC1=CC(C)=CC(C)=C1N2CCN(C3=C(C)C=C(C)C=C3C)C2[Ru]4(Cl)(Cl)=CC5=CC(O)=CC=C5O4C(C)C,0.5,30,25,0.341,CF,metal_catalyst,GMT-oNF,300,87,-8,0,0,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,643.6410000000001,7.952120000000009,643.6410000000001,7.952120000000009,0,0,0,0,0,0,1,0,1,0,0.6284415,0.6350328,0.3421899,0.7480947,0.5806384,0.5868794599999999,0.4006832258038424,0.7730756941961574,,,,,,,,,,
3,3,3,3,3,3,3,PMPerformance,Toluene,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OC)C=C3C[P](C6=CC=CC=C6)1C7=CC=CC=C7,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OC)C=C3C[P](C6=CC=CC=C6)1C7=CC=CC=C7,0.5,30,25,0.717,CF,metal_catalyst,PM,300,-1,0,1,1,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,645.4150000000002,6.822600000000008,645.4150000000002,6.822600000000008,0,0,1,0,0,0,0,0,1,0,0.87849844,0.919716,0.8765372,0.88553655,0.9100282,0.894063278,0.8697390710618269,0.918387485,,,,,,,,,,
4,4,4,4,4,4,4,PMPerformance,Toluene,CC1=CC=[N]([Ru]23([N]4=C(C5=CC=CC=[N]53)C=CC=C4)6[N]7=CC=CC=C7C8=[N]2C=CC=C8)C(C9=[N]6C=CC(C)=C9)=C1,CC1=CC=[N]([Ru]23([N]4=C(C5=CC=CC=[N]53)C=CC=C4)6[N]7=CC=CC=C7C8=[N]2C=CC=C8)C(C9=[N]6C=CC(C)=C9)=C1,0.5,30,25,0.717,CF,metal_catalyst,PM,300,-1,0,1,1,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,597.6880000000001,7.045140000000006,597.6880000000001,7.045140000000006,0,0,1,0,0,0,0,0,1,0,0.92396456,0.9011511,0.913518,0.6865616,0.8898082,0.863000692,0.7394981205161975,0.9865032634838024,,,,,,,,,,
5,5,5,5,5,5,5,PMPerformance,Toluene,CC1=CC(C)=CC(C)=C1N2CCN(C3=C(C)C=C(C)C=C3C)C2[Ru]4(Cl)(Cl)=CC5=CC(O)=CC=C5O4C(C)C,CC1=CC(C)=CC(C)=C1N2CCN(C3=C(C)C=C(C)C=C3C)C2[Ru]4(Cl)(Cl)=CC5=CC(O)=CC=C5O4C(C)C,0.5,30,25,0.717,CF,metal_catalyst,PM,300,-1,0,1,1,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,643.6410000000001,7.952120000000009,643.6410000000001,7.952120000000009,0,0,1,0,0,0,0,0,1,0,0.8805977,0.86897326,0.8621638,0.9099747,0.8812586,0.880593612,0.857881162,0.903306062,,,,,,,,,,
6,6,6,6,6,6,6,SS336,Toluene,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OC)C=C3C[P](C6=CC=CC=C6)1C7=CC=CC=C7,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OC)C=C3C[P](C6=CC=CC=C6)1C7=CC=CC=C7,0.5,30,25,0.798,CF,metal_catalyst,SS,500,82,0,0,1,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,645.4150000000002,6.822600000000008,645.4150000000002,6.822600000000008,0,0,0,0,0,1,0,0,1,0,0.82684016,0.6952275,0.7885206,0.6898718,0.6862657,0.7373451520000001,0.6557700737032615,0.8189202302967387,,,,,,,,,,
7,7,7,7,7,7,7,SS336,Toluene,CC1=CC=[N]([Ru]23([N]4=C(C5=CC=CC=[N]53)C=CC=C4)6[N]7=CC=CC=C7C8=[N]2C=CC=C8)C(C9=[N]6C=CC(C)=C9)=C1,CC1=CC=[N]([Ru]23([N]4=C(C5=CC=CC=[N]53)C=CC=C4)6[N]7=CC=CC=C7C8=[N]2C=CC=C8)C(C9=[N]6C=CC(C)=C9)=C1,0.5,30,25,0.798,CF,metal_catalyst,SS,500,82,0,0,1,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,597.6880000000001,7.045140000000006,597.6880000000001,7.045140000000006,0,0,0,0,0,1,0,0,1,0,0.72756076,0.481603,0.17834029,0.48366055,0.27358162,0.428949244,0.164181662,0.693716826,,,,,,,,,,
8,8,8,8,8,8,8,SS336,Toluene,CC1=CC(C)=CC(C)=C1N2CCN(C3=C(C)C=C(C)C=C3C)C2[Ru]4(Cl)(Cl)=CC5=CC(O)=CC=C5O4C(C)C,CC1=CC(C)=CC(C)=C1N2CCN(C3=C(C)C=C(C)C=C3C)C2[Ru]4(Cl)(Cl)=CC5=CC(O)=CC=C5O4C(C)C,0.5,30,25,0.798,CF,metal_catalyst,SS,500,82,0,0,1,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,643.6410000000001,7.952120000000009,643.6410000000001,7.952120000000009,0,0,0,0,0,1,0,0,1,0,0.6993202,0.5298865,0.3941121,0.592276,0.47948945,0.53901685,0.3958777587270669,0.6821559412729331,,,,,,,,,,
9,9,9,9,9,9,9,DM300,Toluene,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OC)C=C3C[P](C6=CC=CC=C6)1C7=CC=CC=C7,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OC)C=C3C[P](C6=CC=CC=C6)1C7=CC=CC=C7,0.5,30,25,0.127,CF,metal_catalyst,DM,300,59,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,645.4150000000002,6.822600000000008,645.4150000000002,6.822600000000008,0,0,0,1,0,0,0,0,1,0,0.88194025,0.78160596,0.91793925,0.95542926,0.89086187,0.885555318,0.8051395167362801,0.9659711192637198,,,,,,,,,,
10,10,10,10,10,10,10,DM300,Toluene,CC1=CC=[N]([Ru]23([N]4=C(C5=CC=CC=[N]53)C=CC=C4)6[N]7=CC=CC=C7C8=[N]2C=CC=C8)C(C9=[N]6C=CC(C)=C9)=C1,CC1=CC=[N]([Ru]23([N]4=C(C5=CC=CC=[N]53)C=CC=C4)6[N]7=CC=CC=C7C8=[N]2C=CC=C8)C(C9=[N]6C=CC(C)=C9)=C1,0.5,30,25,0.127,CF,metal_catalyst,DM,300,59,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,597.6880000000001,7.045140000000006,597.6880000000001,7.045140000000006,0,0,0,1,0,0,0,0,1,0,0.9157977,0.731469,0.7495246,0.9360244,0.80770504,0.8281041480000001,0.7115163273631655,0.9446919686368348,,,,,,,,,,
11,11,11,11,11,11,11,DM300,Toluene,CC1=CC(C)=CC(C)=C1N2CCN(C3=C(C)C=C(C)C=C3C)C2[Ru]4(Cl)(Cl)=CC5=CC(O)=CC=C5O4C(C)C,CC1=CC(C)=CC(C)=C1N2CCN(C3=C(C)C=C(C)C=C3C)C2[Ru]4(Cl)(Cl)=CC5=CC(O)=CC=C5O4C(C)C,0.5,30,25,0.127,CF,metal_catalyst,DM,300,59,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,643.6410000000001,7.952120000000009,643.6410000000001,7.952120000000009,0,0,0,1,0,0,0,0,1,0,0.8780837,0.7954875,0.79555273,0.950717,0.87146163,0.858260512,0.7773421460678428,0.9391788779321572,,,,,,,,,,
12,12,12,12,12,12,12,SM122,Toluene,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OC)C=C3C[P](C6=CC=CC=C6)1C7=CC=CC=C7,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OC)C=C3C[P](C6=CC=CC=C6)1C7=CC=CC=C7,0.5,30,25,0.18,CF,metal_catalyst,SM,220,-1,0,1,1,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,645.4150000000002,6.822600000000008,645.4150000000002,6.822600000000008,1,0,0,0,0,0,0,0,1,0,0.9373441,0.95990586,0.9354017,0.9755644,0.93566567,0.948776346,0.9261953526604144,0.9713573393395856,,,,,,,,,,
13,13,13,13,13,13,13,SM122,Toluene,CC1=CC=[N]([Ru]23([N]4=C(C5=CC=CC=[N]53)C=CC=C4)6[N]7=CC=CC=C7C8=[N]2C=CC=C8)C(C9=[N]6C=CC(C)=C9)=C1,CC1=CC=[N]([Ru]23([N]4=C(C5=CC=CC=[N]53)C=CC=C4)6[N]7=CC=CC=C7C8=[N]2C=CC=C8)C(C9=[N]6C=CC(C)=C9)=C1,0.5,30,25,0.18,CF,metal_catalyst,SM,220,-1,0,1,1,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,597.6880000000001,7.045140000000006,597.6880000000001,7.045140000000006,1,0,0,0,0,0,0,0,1,0,0.9707582,0.9266391,0.941905,0.9758138,0.9298786,0.94899894,0.9204921629247148,0.9775057170752852,,,,,,,,,,
14,14,14,14,14,14,14,SM122,Toluene,CC1=CC(C)=CC(C)=C1N2CCN(C3=C(C)C=C(C)C=C3C)C2[Ru]4(Cl)(Cl)=CC5=CC(O)=CC=C5O4C(C)C,CC1=CC(C)=CC(C)=C1N2CCN(C3=C(C)C=C(C)C=C3C)C2[Ru]4(Cl)(Cl)=CC5=CC(O)=CC=C5O4C(C)C,0.5,30,25,0.18,CF,metal_catalyst,SM,220,-1,0,1,1,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,643.6410000000001,7.952120000000009,643.6410000000001,7.952120000000009,1,0,0,0,0,0,0,0,1,0,0.94789284,0.9326725,0.9221705,0.97474396,0.9119375,0.93788346,0.9074302220915944,0.9683366979084054,,,,,,,,,,
0,0,0,0,0,0,0,GMT-oNF-2,Toluene,NC(C=C1)=CC2=C1OCCOCCOC(C=CC=C3)=C3OCCOCCO2,NC(C=C1)=CC2=C1OCCOCCOC(C=CC=C3)=C3OCCOCCO2,0.5,30,25,0.341,CF,organocatalyst,GMT-oNF,300,87,-8,0,0,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,375.4210000000002,2.5310000000000006,375.4210000000002,2.5310000000000006,0,0,0,0,0,0,1,0,1,0,,,,,,0.449016986,0.2148164201336736,0.6832175518663264,0.12697747,0.5336493,0.6015176,0.44364566,0.5392949,,,,,
1,1,1,1,1,1,1,GMT-oNF-2,Toluene,COC1=CC2=C([C@H](NC(C3=O)=C(OC)C3=O)[C@H]4[N@@](CC5)C[C@H](CC)[C@@H]5C4)C=CN=C2C=C1,COC1=CC2=C([C@H](NC(C3=O)=C(OC)C3=O)[C@H]4[N@@](CC5)C[C@H](CC)[C@@H]5C4)C=CN=C2C=C1,0.5,30,25,0.341,CF,organocatalyst,GMT-oNF,300,87,-8,0,0,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,435.5240000000003,3.1216000000000017,435.5240000000003,3.1216000000000017,0,0,0,0,0,0,1,0,1,0,,,,,,0.6802625640000001,0.4036326666188058,0.9568924613811942,0.29589662,0.6864471,0.76143384,0.82288486,0.8346504,,,,,
2,2,2,2,2,2,2,PMPerformance,Toluene,NC(C=C1)=CC2=C1OCCOCCOC(C=CC=C3)=C3OCCOCCO2,NC(C=C1)=CC2=C1OCCOCCOC(C=CC=C3)=C3OCCOCCO2,0.5,30,25,0.717,CF,organocatalyst,PM,300,-1,0,1,1,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,375.4210000000002,2.5310000000000006,375.4210000000002,2.5310000000000006,0,0,1,0,0,0,0,0,1,0,,,,,,0.38305176,0.2028064189162564,0.5632971010837435,0.23089132,0.50739706,0.52985895,0.23124027,0.4158712,,,,,
3,3,3,3,3,3,3,PMPerformance,Toluene,COC1=CC2=C([C@H](NC(C3=O)=C(OC)C3=O)[C@H]4[N@@](CC5)C[C@H](CC)[C@@H]5C4)C=CN=C2C=C1,COC1=CC2=C([C@H](NC(C3=O)=C(OC)C3=O)[C@H]4[N@@](CC5)C[C@H](CC)[C@@H]5C4)C=CN=C2C=C1,0.5,30,25,0.717,CF,organocatalyst,PM,300,-1,0,1,1,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,435.5240000000003,3.1216000000000017,435.5240000000003,3.1216000000000017,0,0,1,0,0,0,0,0,1,0,,,,,,0.692902452,0.5358593196298604,0.8499455843701396,0.47849396,0.68164885,0.7743226,0.74432385,0.785723,,,,,
4,4,4,4,4,4,4,SS336,Toluene,NC(C=C1)=CC2=C1OCCOCCOC(C=CC=C3)=C3OCCOCCO2,NC(C=C1)=CC2=C1OCCOCCOC(C=CC=C3)=C3OCCOCCO2,0.5,30,25,0.798,CF,organocatalyst,SS,500,82,0,0,1,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,375.4210000000002,2.5310000000000006,375.4210000000002,2.5310000000000006,0,0,0,0,0,1,0,0,1,0,,,,,,0.318899588,0.1662186640460558,0.4715805119539442,0.17903423,0.32660162,0.43660423,0.2101531,0.44210476,,,,,
5,5,5,5,5,5,5,SS336,Toluene,COC1=CC2=C([C@H](NC(C3=O)=C(OC)C3=O)[C@H]4[N@@](CC5)C[C@H](CC)[C@@H]5C4)C=CN=C2C=C1,COC1=CC2=C([C@H](NC(C3=O)=C(OC)C3=O)[C@H]4[N@@](CC5)C[C@H](CC)[C@@H]5C4)C=CN=C2C=C1,0.5,30,25,0.798,CF,organocatalyst,SS,500,82,0,0,1,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,435.5240000000003,3.1216000000000017,435.5240000000003,3.1216000000000017,0,0,0,0,0,1,0,0,1,0,,,,,,0.497498812,0.3574624125200821,0.6375352114799179,0.33879846,0.4506547,0.5408525,0.5135335,0.6436549,,,,,
6,6,6,6,6,6,6,DM300,Toluene,NC(C=C1)=CC2=C1OCCOCCOC(C=CC=C3)=C3OCCOCCO2,NC(C=C1)=CC2=C1OCCOCCOC(C=CC=C3)=C3OCCOCCO2,0.5,30,25,0.127,CF,organocatalyst,DM,300,59,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,375.4210000000002,2.5310000000000006,375.4210000000002,2.5310000000000006,0,0,0,1,0,0,0,0,1,0,,,,,,0.439573142,0.3245813340016656,0.5545649499983343,0.31995332,0.51189524,0.5484036,0.3861062,0.43150735,,,,,
7,7,7,7,7,7,7,DM300,Toluene,COC1=CC2=C([C@H](NC(C3=O)=C(OC)C3=O)[C@H]4[N@@](CC5)C[C@H](CC)[C@@H]5C4)C=CN=C2C=C1,COC1=CC2=C([C@H](NC(C3=O)=C(OC)C3=O)[C@H]4[N@@](CC5)C[C@H](CC)[C@@H]5C4)C=CN=C2C=C1,0.5,30,25,0.127,CF,organocatalyst,DM,300,59,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,435.5240000000003,3.1216000000000017,435.5240000000003,3.1216000000000017,0,0,0,1,0,0,0,0,1,0,,,,,,0.532681466,0.4521235856786822,0.6132393463213177,0.54646075,0.43028858,0.577968,0.5145112,0.5941788,,,,,
8,8,8,8,8,8,8,SM122,Toluene,NC(C=C1)=CC2=C1OCCOCCOC(C=CC=C3)=C3OCCOCCO2,NC(C=C1)=CC2=C1OCCOCCOC(C=CC=C3)=C3OCCOCCO2,0.5,30,25,0.18,CF,organocatalyst,SM,220,-1,0,1,1,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,375.4210000000002,2.5310000000000006,375.4210000000002,2.5310000000000006,1,0,0,0,0,0,0,0,1,0,,,,,,0.675650996,0.4499630280046653,0.9013389639953346,0.6781452,0.74848104,0.77261704,0.36301565,0.81599605,,,,,
9,9,9,9,9,9,9,SM122,Toluene,COC1=CC2=C([C@H](NC(C3=O)=C(OC)C3=O)[C@H]4[N@@](CC5)C[C@H](CC)[C@@H]5C4)C=CN=C2C=C1,COC1=CC2=C([C@H](NC(C3=O)=C(OC)C3=O)[C@H]4[N@@](CC5)C[C@H](CC)[C@@H]5C4)C=CN=C2C=C1,0.5,30,25,0.18,CF,organocatalyst,SM,220,-1,0,1,1,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,435.5240000000003,3.1216000000000017,435.5240000000003,3.1216000000000017,1,0,0,0,0,0,0,0,1,0,,,,,,0.863596246,0.7966321982382217,0.9305602937617782,0.87346363,0.8825866,0.8462138,0.7843461,0.9313711,,,,,
0,0,0,0,0,0,0,GMT-oNF-2,Toluene,P(OC1=CC=CC=C1)(OC2=CC=CC=C2)OC3=CC=CC=C3,P(OC1=CC=CC=C1)(OC2=CC=CC=C2)OC3=CC=CC=C3,0.5,30,25,0.341,CF,ligand,GMT-oNF,300,87,-8,0,0,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,310.289,5.450300000000004,310.289,5.450300000000004,0,0,0,0,0,0,1,0,1,0,,,,,,0.609276726,0.3650214936977488,0.8535319583022514,,,,,,0.7657687,0.548624,0.70662963,0.2907785,0.7345828
1,1,1,1,1,1,1,PMPerformance,Toluene,P(OC1=CC=CC=C1)(OC2=CC=CC=C2)OC3=CC=CC=C3,P(OC1=CC=CC=C1)(OC2=CC=CC=C2)OC3=CC=CC=C3,0.5,30,25,0.717,CF,ligand,PM,300,-1,0,1,1,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,310.289,5.450300000000004,310.289,5.450300000000004,0,0,1,0,0,0,0,0,1,0,,,,,,0.4381606749999999,0.140191458,0.7361298919792159,,,,,,0.5936208,0.38009867,0.64415145,0.047343105,0.52558935
2,2,2,2,2,2,2,SS336,Toluene,P(OC1=CC=CC=C1)(OC2=CC=CC=C2)OC3=CC=CC=C3,P(OC1=CC=CC=C1)(OC2=CC=CC=C2)OC3=CC=CC=C3,0.5,30,25,0.798,CF,ligand,SS,500,82,0,0,1,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,310.289,5.450300000000004,310.289,5.450300000000004,0,0,0,0,0,1,0,0,1,0,,,,,,0.416446786,0.2755905362351534,0.5573030357648465,,,,,,0.48989314,0.34153357,0.42919517,0.26895505,0.552657
3,3,3,3,3,3,3,DM300,Toluene,P(OC1=CC=CC=C1)(OC2=CC=CC=C2)OC3=CC=CC=C3,P(OC1=CC=CC=C1)(OC2=CC=CC=C2)OC3=CC=CC=C3,0.5,30,25,0.127,CF,ligand,DM,300,59,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,310.289,5.450300000000004,310.289,5.450300000000004,0,0,0,1,0,0,0,0,1,0,,,,,,0.7210936039999999,0.5930475492370244,0.8491396587629754,,,,,,0.7999042,0.6391158,0.81176686,0.5836471,0.77103406
4,4,4,4,4,4,4,SM122,Toluene,P(OC1=CC=CC=C1)(OC2=CC=CC=C2)OC3=CC=CC=C3,P(OC1=CC=CC=C1)(OC2=CC=CC=C2)OC3=CC=CC=C3,0.5,30,25,0.18,CF,ligand,SM,220,-1,0,1,1,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,310.289,5.450300000000004,310.289,5.450300000000004,1,0,0,0,0,0,0,0,1,0,,,,,,0.830208758,0.7578928286252429,0.9025246873747572,,,,,,0.85835695,0.7328943,0.86567974,0.8198551,0.8742577
